,count,mean,std,min,5%,25%,50%,75%,95%,max,skew,kurtosis
patientsid,1187582.0,422883607.84296495,527716040.11577874,5617.0,10687506.0,11147845.0,24762392.0,1001121492.0,1209999126.0,1605025223.0,0.6796498907520787,-1.1529388330342614
year,1187582.0,2019.300224321352,2.591708665723278,2014.0,2015.0,2017.0,2019.0,2022.0,2023.0,2023.0,-0.25886788077384926,-1.045559603221846
month,1187582.0,6.43228678103912,3.360593877417231,1.0,1.0,4.0,6.0,9.0,12.0,12.0,0.029713734346622677,-1.1487345674962013
sta3n,1187582.0,611.2656726019761,39.93523189551301,358.0,564.0,589.0,589.0,657.0,657.0,757.0,-0.08051019422739593,0.03948520190723359
stopcode,1187582.0,312.73701605447036,132.7794531540938,102.0,116.0,204.0,312.0,408.0,502.0,907.0,0.486449383948704,0.3806587454870356
dtot,1187582.0,34.73426929677277,36.24482904742045,0.0,1.0,13.0,26.0,43.0,99.0,365.0,3.047331710123897,14.899482404909113
non_va,1187582.0,0.3358243893895327,0.47227805019542285,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6952509735745641,-1.5166286378920029
zip,1187582.0,643.1901797096958,9.536592196288685,630.0,630.0,634.0,641.0,652.0,657.0,841.0,0.16479069553941397,-0.188254328510443
__year,1187582.0,2019.300224321352,2.591708665723278,2014.0,2015.0,2017.0,2019.0,2022.0,2023.0,2023.0,-0.25886788077384926,-1.045559603221846
veteran_zip3,1187582.0,6.000013472753881,0.005190890957917402,6.0,6.0,6.0,6.0,6.0,6.0,8.0,385.28577056517406,148443.37499263207
wait_days,1187582.0,34.73426929677277,36.24482904742045,0.0,1.0,13.0,26.0,43.0,99.0,365.0,3.047331710123897,14.899482404909113
met_access_standard,1187582.0,0.5620832919326834,0.49613090221152656,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.25027022590301823,-1.9373680767396977
wait_days_clipped,1187582.0,34.73426929677277,36.24482904742045,0.0,1.0,13.0,26.0,43.0,99.0,365.0,3.047331710123897,14.899482404909113
