feature,importance
sta3n_589.0,0.16622969554737535
sta3n_564.0,0.12495812145935738
year_2015.0,0.06023430103708551
sta3n_657.0,0.04465506416686966
year_2021.0,0.04322882812230849
non_va_0.0,0.03667871575986349
non_va_1.0,0.035859901077200225
year_2018.0,0.03479014908099078
care_setting_VA,0.03396393874236253
care_setting_Community,0.03218172025237716
year_2020.0,0.030263075471727182
year_2019.0,0.02745672152243081
year_2017.0,0.02659239719210909
year_2023.0,0.017752016082653446
year_2014.0,0.016104149771211218
year_2022.0,0.01597384454864311
year_2016.0,0.014063765673934414
sta3n_636.0,0.010097629554872032
sta3n_565.0,0.00907796390188556
sta3n_501.0,0.006970088828604711
sta3n_614.0,0.006165109530632462
sta3n_691.0,0.006103659411513562
sta3n_593.0,0.005803664240200837
sta3n_598.0,0.005798863684352675
sta3n_663.0,0.005496527376388038
sta3n_671.0,0.005337261020768161
sta3n_740.0,0.004885324613579743
sta3n_554.0,0.004701408445577345
sta3n_648.0,0.0039910834799915945
sta3n_463.0,0.003952603110792218
sta3n_644.0,0.003928723449859692
sta3n_623.0,0.003849730298883684
sta3n_756.0,0.0033851064257756406
sta3n_520.0,0.003139654262786124
sta3n_626.0,0.003036891217170259
sta3n_516.0,0.0028110158464200374
sta3n_660.0,0.00273896271932869
sta3n_619.0,0.002553822209511174
sta3n_437.0,0.002519191038345575
sta3n_509.0,0.002465432383075921
sta3n_653.0,0.0024168962778140187
sta3n_621.0,0.0023980943315444815
sta3n_612.0,0.00238852115830943
sta3n_695.0,0.002364794096044995
sta3n_558.0,0.00236130336551833
sta3n_515.0,0.002327027383045442
sta3n_603.0,0.002317043879161869
sta3n_635.0,0.002287956418983846
sta3n_610.0,0.0022525428589786106
sta3n_649.0,0.002249182372055547
sta3n_692.0,0.002226740072914817
sta3n_502.0,0.002128117658500659
sta3n_436.0,0.0021223858823518804
sta3n_534.0,0.0021025310215045862
sta3n_568.0,0.0020645503626670627
sta3n_550.0,0.002038513697606501
sta3n_618.0,0.002014859095279171
sta3n_607.0,0.0020016277158655233
sta3n_508.0,0.001975123181025553
sta3n_678.0,0.00196793721932274
sta3n_664.0,0.001967705954436214
sta3n_573.0,0.001960942521604976
sta3n_674.0,0.0019193364149936065
sta3n_459.0,0.0019180483799606733
sta3n_590.0,0.0019024992397915963
sta3n_654.0,0.001854877241550548
sta3n_504.0,0.0017958224340525772
sta3n_528.0,0.001792442881776
sta3n_687.0,0.001723814863280343
sta3n_608.0,0.0017152171833128896
sta3n_586.0,0.0016811265748051948
sta3n_629.0,0.0016629067113166497
sta3n_656.0,0.0016350041120270578
sta3n_673.0,0.0016340898960449414
sta3n_575.0,0.0016277800235364591
sta3n_519.0,0.0016262283883356874
sta3n_544.0,0.001599925874881681
sta3n_583.0,0.0015707352869635304
sta3n_549.0,0.0015601306345771567
sta3n_506.0,0.0015350354259869227
sta3n_666.0,0.0015144155153212894
sta3n_580.0,0.001492870084797931
sta3n_538.0,0.0014921769616434188
sta3n_438.0,0.0014615204004976988
sta3n_402.0,0.0014569359889414599
sta3n_757.0,0.0013799061356248336
sta3n_531.0,0.0013554740706235068
sta3n_640.0,0.001336579931217982
sta3n_668.0,0.0013180376428625186
sta3n_557.0,0.0012808126558900253
sta3n_642.0,0.0012337937209107763
sta3n_442.0,0.0012185468215778546
sta3n_646.0,0.0012139404361963312
sta3n_679.0,0.001208939178784917
sta3n_667.0,0.001190730274407085
sta3n_578.0,0.001186722113588051
sta3n_570.0,0.0011435788744963006
sta3n_600.0,0.0011408140481494505
sta3n_537.0,0.0011090743220439634
sta3n_541.0,0.001100572285240625
sta3n_585.0,0.0010509313882467056
sta3n_675.0,0.001021382026113956
sta3n_556.0,0.0010113969898382256
sta3n_529.0,0.0009995689655370001
sta3n_676.0,0.0009425017977396344
sta3n_662.0,0.0009389428847003125
sta3n_503.0,0.0009284037867558181
sta3n_548.0,0.0008944464936729265
sta3n_562.0,0.000892556171376744
sta3n_652.0,0.0008780798609298629
sta3n_552.0,0.0008727559472319134
sta3n_521.0,0.0008540387171025776
sta3n_546.0,0.0008077040266017558
sta3n_658.0,0.0008017040577571629
sta3n_659.0,0.000770124844608887
sta3n_405.0,0.0007611329701254849
sta3n_637.0,0.0007562558623094885
sta3n_595.0,0.0007428319260757328
sta3n_542.0,0.0007286211919312096
sta3n_688.0,0.0007211979739720477
sta3n_672.0,0.0007176025258321848
sta3n_581.0,0.000672061836864877
sta3n_689.0,0.0006679929966869355
sta3n_596.0,0.0006615636690043286
sta3n_693.0,0.0006562750145601587
sta3n_655.0,0.0005211000159235856
sta3n_631.0,0.0004730032727004066
sta3n_650.0,0.0004682970550020275
sta3n_540.0,0.00046802634281586263
sta3n_613.0,0.00041646411994556863
sta3n_553.0,0.00039026271822062354
sta3n_605.0,0.0003663794671841653
sta3n_561.0,0.00031775637034185634
sta3n_539.0,0.0002952941534360351
sta3n_460.0,0.0002952535422061814
sta3n_518.0,0.00025240505399713465
sta3n_632.0,0.00015879032354605623
sta3n_630.0,0.0001453426934832665
sta3n_512.0,0.00010391515176931773
sta3n_517.0,7.65311949552006e-05
sta3n_523.0,6.228424251069787e-05
sta3n_526.0,5.692953586216238e-05
sta3n_620.0,4.5243686992605416e-05
veteran_zip3_6.0,7.89448892096181e-06
veteran_zip3_8.0,5.052685566159924e-06
sta3n_358.0,2.717845682756278e-06
specialty_category_unknown,0.0
